ladder,World,Western Europe,Central and Eastern Europe,The Commonwealth of Independent States,Southeast Asia,South Asia,East Asia,Latin America & Caribbean,Northern America & ANZ,Middle East & North Africa,Sub-Saharan Africa
0,0.028,0.008,0.017,0.013,0.024,0.034,0.018,0.026,0.006,0.060,0.052
1,0.030,0.009,0.017,0.023,0.028,0.045,0.019,0.019,0.006,0.037,0.059
2,0.052,0.015,0.034,0.041,0.038,0.095,0.031,0.024,0.012,0.051,0.097
3,0.091,0.030,0.067,0.083,0.075,0.147,0.079,0.041,0.034,0.083,0.135
4,0.113,0.049,0.092,0.114,0.091,0.170,0.113,0.057,0.042,0.097,0.143
5,0.243,0.151,0.232,0.245,0.323,0.227,0.310,0.194,0.115,0.267,0.212
6,0.131,0.155,0.153,0.145,0.144,0.123,0.153,0.126,0.106,0.117,0.088
7,0.120,0.236,0.166,0.139,0.108,0.077,0.123,0.159,0.206,0.109,0.055
8,0.100,0.231,0.126,0.091,0.065,0.043,0.095,0.179,0.263,0.080,0.034
9,0.032,0.077,0.041,0.036,0.022,0.011,0.021,0.065,0.100,0.029,0.016
10,0.0434181,0.038,0.035,0.047,0.061,0.019,0.026,0.101,0.105,0.058,0.036
